url,path,depth,hops,level,money_page,hub,authority_percent
https://simplyenak.com/stories/food-guide-penang,/stories/food-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/food-safety,/stories/food-safety,2,2,category,False,,72.2
https://simplyenak.com/stories/foodies-guide-kuala-lumpur,/stories/foodies-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/foodies-guide-penang,/stories/foodies-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/gluten-free-guide-kuala-lumpur,/stories/gluten-free-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/gluten-free-guide-penang,/stories/gluten-free-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/halal-guide-kuala-lumpur,/stories/halal-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/halal-guide-penang,/stories/halal-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/heritage-food-guide-kuala-lumpur,/stories/heritage-food-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/heritage-food-guide-malaysia,/stories/heritage-food-guide-malaysia,2,2,category,False,,72.2
https://simplyenak.com/stories/heritage-food-guide-penang,/stories/heritage-food-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/hidden-gems-in-kuala-lumpur,/stories/hidden-gems-in-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/hidden-meat-problem-vegetarian-kl,/stories/hidden-meat-problem-vegetarian-kl,2,2,category,False,,72.2
https://simplyenak.com/stories/how-to-find-vegetarian-restaurants-kl-penang-ipoh,/stories/how-to-find-vegetarian-restaurants-kl-penang-ipoh,2,2,category,False,,72.2
https://simplyenak.com/stories/jain-guide-kuala-lumpur,/stories/jain-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/jain-guide-penang,/stories/jain-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/johor-bahru-local-food-guide,/stories/johor-bahru-local-food-guide,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysia-durian-guide,/stories/malaysia-durian-guide,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysia-food-guide-first-time-visitors,/stories/malaysia-food-guide-first-time-visitors,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-chefs-local-cuisine,/stories/malaysian-chefs-local-cuisine,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-egg-dishes-cooking-methods,/stories/malaysian-egg-dishes-cooking-methods,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-festivities,/stories/malaysian-festivities,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-herbs-and-spices,/stories/malaysian-herbs-and-spices,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-kueh-sweets-guide,/stories/malaysian-kueh-sweets-guide,2,2,category,False,,72.2
https://simplyenak.com/stories/malaysian-street-food-local-guide,/stories/malaysian-street-food-local-guide,2,2,category,False,,72.2
https://simplyenak.com/stories/market-guide-kuala-lumpur,/stories/market-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/market-guide-malaysia,/stories/market-guide-malaysia,2,2,category,False,,72.2
https://simplyenak.com/stories/market-guide-penang,/stories/market-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/must-try-malaysian-street-food,/stories/must-try-malaysian-street-food,2,2,category,False,,72.2
https://simplyenak.com/stories/night-food-guide-kuala-lumpur,/stories/night-food-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/night-food-guide-malaysia,/stories/night-food-guide-malaysia,2,2,category,False,,72.2
https://simplyenak.com/stories/night-food-guide-penang,/stories/night-food-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/nyonya-cuisine-cultural-symbolism,/stories/nyonya-cuisine-cultural-symbolism,2,2,category,False,,72.2
https://simplyenak.com/stories/port-klang-to-kuala-lumpur,/stories/port-klang-to-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/souvenirs-for-foodies,/stories/souvenirs-for-foodies,2,2,category,False,,72.2
https://simplyenak.com/stories/street-food-guide-kuala-lumpur,/stories/street-food-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/street-food-guide-malaysia,/stories/street-food-guide-malaysia,2,2,category,False,,72.2
https://simplyenak.com/stories/street-food-guide-penang,/stories/street-food-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/traditional-pahang-food,/stories/traditional-pahang-food,2,2,category,False,,72.2
https://simplyenak.com/stories/traveling-during-fasting-month,/stories/traveling-during-fasting-month,2,2,category,False,,72.2
https://simplyenak.com/stories/vegan-guide-kuala-lumpur,/stories/vegan-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/vegan-guide-penang,/stories/vegan-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/vegetarian-guide-kuala-lumpur,/stories/vegetarian-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/vegetarian-guide-malaysia,/stories/vegetarian-guide-malaysia,2,2,category,False,,72.2
https://simplyenak.com/stories/vegetarian-guide-penang,/stories/vegetarian-guide-penang,2,2,category,False,,72.2
https://simplyenak.com/stories/wedding-groups-guide-kuala-lumpur,/stories/wedding-groups-guide-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/stories/what-to-eat-kuala-lumpur-first-time,/stories/what-to-eat-kuala-lumpur-first-time,2,2,category,False,,72.2
https://simplyenak.com/stories/what-vegetarian-actually-means-kuala-lumpur,/stories/what-vegetarian-actually-means-kuala-lumpur,2,2,category,False,,72.2
https://simplyenak.com/terms,/terms,1,1,root,False,,85.0
https://simplyenak.com/testimonials,/testimonials,1,1,root,False,,85.0
https://simplyenak.com/tour-quiz,/tour-quiz,1,1,root,False,,85.0
https://simplyenak.com/tours,/tours,1,1,root,False,,85.0
https://simplyenak.com/tours/corporate-groups,/tours/corporate-groups,2,2,category,False,,72.2
https://simplyenak.com/tours/dietary,/tours/dietary,2,2,category,False,,72.2
https://simplyenak.com/tours/dietary/gluten-free-food-tours,/tours/dietary/gluten-free-food-tours,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/gluten-free-food-tours-kuala-lumpur,/tours/dietary/gluten-free-food-tours-kuala-lumpur,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/gluten-free-food-tours-penang,/tours/dietary/gluten-free-food-tours-penang,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/halal-food-tours,/tours/dietary/halal-food-tours,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/halal-food-tours-kuala-lumpur,/tours/dietary/halal-food-tours-kuala-lumpur,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/halal-food-tours-penang,/tours/dietary/halal-food-tours-penang,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/jain-food-tours,/tours/dietary/jain-food-tours,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/jain-food-tours-kuala-lumpur,/tours/dietary/jain-food-tours-kuala-lumpur,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/jain-food-tours-penang,/tours/dietary/jain-food-tours-penang,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/vegan-food-tours,/tours/dietary/vegan-food-tours,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/vegan-food-tours-kuala-lumpur,/tours/dietary/vegan-food-tours-kuala-lumpur,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/vegan-food-tours-penang,/tours/dietary/vegan-food-tours-penang,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/vegetarian-food-tours,/tours/dietary/vegetarian-food-tours,3,3,subpage,True,/tours/dietary,61.4
