page,score,prev_impressions,cur_impressions,prev_clicks,cur_clicks,prev_position,cur_position,impression_drop_pct,click_drop_pct
https://simplyenak.com/food-guide-chow-kit,95,558,92,11,6,5.5,6.1,83.5,45.5
https://simplyenak.com/tours/locations/food-tours-ipoh,55,31,83,4,1,8.5,8.7,-167.7,75.0
https://simplyenak.com/stories/gluten-free-guide-penang,115,66,32,3,1,4.8,7.2,51.5,66.7
https://simplyenak.com/stories/gluten-free-guide-kuala-lumpur,75,71,44,5,3,6.8,7.9,38.0,40.0
https://simplyenak.com/vegan-guide-penang,85,53,31,3,1,9.0,9.2,41.5,66.7
https://simplyenak.com/tours/dietary/vegan-food-tours-kuala-lumpur,55,28,41,2,0,7.2,10.2,-46.4,100.0
