page,score,prev_impressions,cur_impressions,prev_clicks,cur_clicks,prev_position,cur_position,impression_drop_pct,click_drop_pct
https://simplyenak.com/food-guide-chow-kit,95,559,91,11,6,5.5,6.1,83.7,45.5
https://simplyenak.com/tours/locations/food-tours-ipoh,55,32,86,4,1,8.5,8.6,-168.8,75.0
https://simplyenak.com/stories/gluten-free-guide-kuala-lumpur,90,78,37,5,3,6.8,8.0,52.6,40.0
https://simplyenak.com/stories/gluten-free-guide-penang,105,66,34,3,1,4.8,7.2,48.5,66.7
https://simplyenak.com/tours/dietary/vegan-food-tours-kuala-lumpur,75,29,40,2,0,7.7,9.9,-37.9,100.0
